matrix_size|std_mult|winograd_mult|opt_winograd_mult
0|0.0|0.23|0.0
2|0.24|0.52|0.18
4|1.03|0.74|1.48
6|2.07|3.14|2.51
8|4.56|5.67|4.72
10|7.82|9.13|8.24
12|14.07|14.62|13.57
14|22.49|23.21|21.08
16|30.13|34.95|28.37
18|50.48|48.33|39.58
20|60.72|65.83|54.97
22|85.34|82.19|74.23
24|110.27|107.89|98.64
26|140.12|135.48|125.32
28|174.68|170.57|154.98
30|215.32|205.86|195.47
32|260.59|245.32|230.14
34|320.13|290.68|275.79
36|375.72|350.21|330.48
38|440.65|405.34|380.73
40|510.48|475.27|450.32
42|590.23|540.19|510.87
44|680.79|620.35|600.24
46|790.41|710.74|690.68
48|910.52|810.59|780.13
50|1040.19|930.48|870.77

